案件編號,查報日期,權責單位,登錄人員,收件人員,查報地點,道路寬度,"預計
完工日期",實際完工時間,改善完成時間,來源編號,損壞情形,損壞狀況,修補面積,臨時修復,查報來源,案件狀態,照片狀態,瀏覽照片
112041100006,112/04/11 09:42,中山區(第一分隊委外),一分隊委外廠商(聖東),,(聖東-設施)建國北路1段10巷口,八米以上,112/05/26 09:42, ,,,溝蓋路邊緣石,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041100004,112/04/11 09:15,中山區(第一分隊委外),一分隊委外廠商(聖東),,(聖東-設施)建國北路1段23巷口,八米以上,112/05/26 09:15, ,,,溝蓋路邊緣石,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041102275,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區八德路2段85號,八米以上,112/04/26 19:05, ,,中山巡1120402052,孔蓋周邊破損,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041102272,112/04/11 00:00,中山區(第一分隊),橋涵巡,,中山區市民大道高架-往東-p161橋墩上方底板,八米以上,112/04/26 19:05, ,,橋涵巡1120400586,其他,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041101641,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區北安路364號,八米以上,112/04/26 19:07, ,,中山巡1120402123,龜裂,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041101640,112/04/11 00:00,中山區(第一分隊),橋涵巡,,中山區慶昌橋-往西敦煌路前方橋墩P09上方導水槽,八米以上,112/04/26 19:07, ,,橋涵巡1120400634,雜草,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041101634,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區明水路397巷19弄24號,八米以上,112/04/26 19:07, ,,中山巡1120402119,龜裂,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041100445,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區敬業三路11號,八米以上,112/04/26 19:06, ,,中山巡1120402085,龜裂,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041102249,112/04/11 00:00,中山區(第一分隊),橋涵巡,,中山區市民大道高架-往東-p158橋墩下,八米以上,112/04/26 19:05, ,,橋涵巡1120400584,其他,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041102247,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區北安路1120號,八米以上,112/05/26 19:05, ,,中山巡1120402047,縱向及橫向裂縫,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041102246,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區北安路670號,八米以上,112/05/26 19:05, ,,中山巡1120402046,縱向及橫向裂縫,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041102244,112/04/11 00:00,中山區(第一分隊),橋涵巡,,中山區市民大道高架-往東-p155橋墩下,八米以上,112/04/26 19:05, ,,橋涵巡1120400581,其他,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041102243,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區明水路397巷20號,八米以上,112/05/26 19:05, ,,中山巡1120402044,縱向及橫向裂縫,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041102241,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區明水路459號,八米以上,112/05/26 19:05, ,,中山巡1120402043,縱向及橫向裂縫,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041101935,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區民權東路2段40號,八米以上,112/04/26 19:03, ,,中山巡1120401972,側溝蓋破損,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041101934,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區八德路2段197號,八米以上,112/05/26 19:03, ,,中山巡1120401971,縱向及橫向裂縫,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041101926,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區龍江路22號,八米以上,112/04/26 19:03, ,,中山巡1120401966,孔蓋周邊破損,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041101925,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區龍江路22號,八米以上,112/04/26 19:03, ,,中山巡1120401965,樹穴緣石,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041101924,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區龍江路20號,八米以上,112/05/26 19:03, ,,中山巡1120401964,溝蓋路邊緣石,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041101922,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區長安東路2段174號,八米以上,112/04/26 19:03, ,,中山巡1120401963,樹木竄根,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041101921,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區長安東路2段174號,八米以上,112/04/26 19:03, ,,中山巡1120401962,側溝蓋破損,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041101632,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區明水路397巷19弄1號,八米以上,112/04/26 19:07, ,,中山巡1120402118,龜裂,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041101630,112/04/11 00:00,中山區(第一分隊),橋涵巡,,中山區慶昌橋-往東敦煌路與重慶北路3段交叉口上方胸牆,八米以上,112/04/26 19:07, ,,橋涵巡1120400629,雜草,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041101629,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區北安路458巷47弄51號,八米以上,112/04/26 19:07, ,,中山巡1120402116,龜裂,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041101627,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區北安路458巷47弄4號,八米以上,112/04/26 19:07, ,,中山巡1120402115,龜裂,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041101625,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區北安路458巷51弄6號,八米以上,112/04/26 19:07, ,,中山巡1120402114,龜裂,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041101621,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區建國北路2段151號,八米以上,112/04/26 19:01, ,,中山巡1120401903,鋪面破損,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041101620,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區龍江路298巷23號,八米以上,112/04/26 19:01, ,,中山巡1120401902,側溝蓋破損,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041101616,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區龍江路300號,八米以上,112/05/26 19:01, ,,中山巡1120401899,縱向及橫向裂縫,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041101615,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區龍江路298巷14號,八米以上,112/05/26 19:00, ,,中山巡1120401898,縱向及橫向裂縫,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041101317,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區樂群二路166號,八米以上,112/04/26 19:06, ,,中山巡1120402056,龜裂,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
112041101313,112/04/11 00:00,中山區(第一分隊),中山巡,,中山區基湖路135號,八米以上,112/04/26 19:06, ,,中山巡1120402053,龜裂,觀察,0,否,廠商,觀察,臨時修復：0 時，施工中：0 天，施工後：0 天，標線復原：0 天,瀏覽照片
